,OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost,Customer Index,Customer Names,Index,Product Name,id,name,county,state_code,state,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone,State Code,Region
0,SO - 000225,2014-01-01,126,Wholesale,USD,AXW291,364,27,6,2499.1,14994.599999999999,1824.3429999999998,126,Rhynoodle Ltd,27,Product 27,364,Savannah,Chatham County,GA,Georgia,City,32.08354,-81.09983,912,145674,52798,36466,268318796,13908113,America/New York,GA,South
1,SO - 0003378,2014-01-01,96,Distributor,USD,AXW291,488,20,11,2351.7000000000003,25868.700000000004,1269.9180000000001,96,Thoughtmix Ltd,20,Product 20,488,Greenwood,Johnson County,IN,Indiana,City,39.61366,-86.10665,317,55586,20975,54176,72276415,1883,America/Indiana/Indianapolis,IN,Midwest
2,SO - 0005126,2014-01-01,8,Wholesale,USD,AXW291,155,26,6,978.2,5869.200000000001,684.74,8,Amerisourc Corp,26,Product 26,155,Pleasanton,Alameda County,CA,California,City,37.66243,-121.87468,925,79510,26020,124759,62489257,386195,America/Los Angeles,CA,West
3,SO - 0005614,2014-01-01,42,Export,USD,AXW291,473,7,7,2338.3,16368.100000000002,1028.852,42,Colgate-Pa Group,7,Product 7,473,Bloomington,Monroe County,IN,Indiana,City,39.16533,-86.52639,812,84067,30232,30019,60221613,475857,America/Indiana/Indianapolis,IN,Midwest
4,SO - 0005781,2014-01-01,73,Wholesale,USD,AXW291,256,8,8,2291.4,18331.2,1260.2700000000002,73,Deseret Group,8,Product 8,256,Manchester,Hartford County,CT,Connecticut,Town,41.77524,-72.52443,959,58007,24141,63158,70972793,720300,America/New York,CT,Northeast
5,SO - 0010394,2014-01-01,138,Export,USD,NXH382,626,23,11,5219.3,57412.3,4332.019,138,Zoovu Corp,23,Product 23,626,Minnetonka,Hennepin County,MN,Minnesota,City,44.9133,-93.50329,952,51669,22676,78589,69730100,5587760,America/Chicago,MN,Midwest
6,SO - 0008865,2014-01-01,53,Wholesale,USD,GUT930,540,1,7,2874.3,20120.100000000002,1667.094,53,Kare Corp,1,Product 1,540,Brookline,Norfolk County,MA,Massachusetts,Town,42.32385,-71.142,857,59195,25324,95518,17508399,184972,America/New York,MA,Northeast
7,SO - 0009909,2014-01-01,45,Wholesale,USD,AXW291,156,25,10,1045.2,10452.0,679.3800000000001,45,State Ltd,25,Product 25,156,Pomona,Los Angeles County,CA,California,City,34.05529,-117.75228,909,153266,39378,49186,59446734,26188,America/Los Angeles,CA,West
8,SO - 0001912,2014-01-01,85,Wholesale,USD,AXW291,934,13,5,3852.5,19262.5,2966.425,85,Lazzy Group,13,Product 13,934,South Jordan,Salt Lake County,UT,Utah,City,40.56217,-111.92966,385,66648,16748,94183,57533764,228038,America/Denver,UT,West
9,SO - 0002683,2014-01-01,125,Export,USD,AXW291,652,14,12,2914.5,34974.0,1311.525,125,Zooveo Company,14,Product 14,652,Burlington,Alamance County/Guilford County,NC,North Carolina,City,36.07613,-79.4683,336,52472,21562,36140,75533002,3947235,America/New York,NC,South
